"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"VaccDscaff1-augustus-gene-0.27" 2104.53360602692 0.407576074597482 0.419299783787506 0.972039791949988 0.331030752914539 0.66981484713089
"VaccDscaff1-augustus-gene-0.30" 236.138031642119 0.412134788839834 0.458291307971343 0.899285632677993 0.368500538112078 0.704925779120986
"VaccDscaff1-augustus-gene-1.24" 1.05771827179406 3.47913194805595 3.04395626568384 1.14296384191786 0.253053603890916 NA
"VaccDscaff1-augustus-gene-1.25" 2.07612836908484 -4.62889578265202 2.62367452904454 -1.76427972730967 0.0776848953856636 NA
"VaccDscaff1-augustus-gene-1.27" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-1.28" 1.35795328311281 3.83971500954868 3.02675740141172 1.26859027676212 0.204587234008418 NA
"VaccDscaff1-augustus-gene-10.38" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-10.40" 0.15187296397255 0.776745393330707 4.0804728567969 0.190356711241657 0.849029616819546 NA
"VaccDscaff1-augustus-gene-10.41" 2.90973977473386 -2.45288599051194 1.9861587108801 -1.23498992153806 0.216834255066711 0.534114253405584
"VaccDscaff1-augustus-gene-100.21" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-100.23" 0.29252701227971 -0.185027278882924 4.0804728567969 -0.0453445679891538 0.963832663832906 NA
"VaccDscaff1-augustus-gene-100.24" 3.56201596458161 -0.684842457125285 1.64999703862164 -0.415056779554819 0.678100338031859 0.89454935312682
"VaccDscaff1-augustus-gene-100.26" 0.613250854499484 -1.52183337300342 3.81913365150788 -0.398476071242641 0.690279293430965 NA
"VaccDscaff1-augustus-gene-101.18" 1.21503183577586 -2.72568437740849 2.94972214546336 -0.9240478400993 0.355461408453487 NA
"VaccDscaff1-augustus-gene-102.21" 0.301488554516497 1.66885327267624 4.03808801211776 0.413278083010631 0.67940288561363 NA
"VaccDscaff1-augustus-gene-102.22" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-103.20" 65.9779058578619 -0.367932919230322 0.587050966072257 -0.626747830247221 0.53082454568333 0.825070160022872
"VaccDscaff1-augustus-gene-104.11" 8.21429196663322 -2.53162671468125 1.24679786645523 -2.03050292496803 0.0423054441563403 0.190121258703326
"VaccDscaff1-augustus-gene-106.32" 1.26786645503419 1.36114902343593 3.18797508804896 0.426963506878894 0.669405908136618 NA
"VaccDscaff1-augustus-gene-107.23" 1.0152478120297 -1.23591394491553 3.44999631037999 -0.358236309180112 0.720166477084651 NA
"VaccDscaff1-augustus-gene-109.25" 1.04818737339953 -1.31491799148185 3.10945290848444 -0.422877602646423 0.672384564745744 NA
"VaccDscaff1-augustus-gene-11.31" 2.05247532247237 1.49576442695948 2.23930416523256 0.667959471599581 0.504159463245308 NA
"VaccDscaff1-augustus-gene-11.36" 0.178314335599442 -1.14680795831178 4.0804728567969 -0.28104780954529 0.778673730280535 NA
"VaccDscaff1-augustus-gene-11.37" 0.452232831774745 2.25363334320745 3.99480231930343 0.564141392508357 0.572657909899848 NA
"VaccDscaff1-augustus-gene-11.39" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-110.30" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-113.26" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-115.27" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-115.28" 0.301739512074212 1.66989676580739 4.03799459965988 0.413546062183452 0.679206581876661 NA
"VaccDscaff1-augustus-gene-115.29" 0.738682446845144 0.63344196643503 3.8933736078927 0.162697452191823 0.870756653118234 NA
"VaccDscaff1-augustus-gene-115.30" 7.15715927219042 -0.466616445957617 1.20566172502959 -0.387021032741307 0.698740637105257 0.905184600970474
"VaccDscaff1-augustus-gene-115.31" 0.201248471097638 -1.14680795831178 4.0804728567969 -0.28104780954529 0.778673730280535 NA
"VaccDscaff1-augustus-gene-116.47" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-116.48" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-116.49" 0.959605780231878 0.764820050172776 3.52132774429802 0.217196496807554 0.828055214667973 NA
"VaccDscaff1-augustus-gene-119.35" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-12.25" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-12.26" 0.566127109854984 -2.78449637817171 3.98629820550247 -0.698516828050682 0.484854037649929 NA
"VaccDscaff1-augustus-gene-12.27" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-12.28" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-12.29" 1.15293659272758 -1.50634825803355 3.28481584945914 -0.458579210241445 0.646536368786845 NA
"VaccDscaff1-augustus-gene-12.30" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-12.31" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-121.27" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-124.39" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-124.40" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-124.43" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-127.18" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-128.27" 6.48868621545422 -0.467403405026023 1.30605012621663 -0.357875548299204 0.720436450091045 0.914059835225554
"VaccDscaff1-augustus-gene-128.28" 0.631049082489618 1.29334889311433 3.78050392887675 0.342110183575077 0.732267973970503 NA
"VaccDscaff1-augustus-gene-128.32" 2.01332416766813 -2.49541069247211 2.48837552014833 -1.00282721489053 0.315944235496328 NA
"VaccDscaff1-augustus-gene-128.33" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-128.35" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-129.20" 2.64421173914966 0.383709622933101 2.2044644215541 0.17406024755101 0.861818114100398 0.959322943875971
"VaccDscaff1-augustus-gene-129.21" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-13.27" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-130.20" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-131.22" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-132.20" 3.00323266586178 3.1583715948568 2.20481900722151 1.43248565279603 0.152004881223766 0.43800390012096
"VaccDscaff1-augustus-gene-132.21" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-134.18" 1.20821159149459 3.67107216178858 3.17590563240056 1.1559134894741 0.24771654441902 NA
"VaccDscaff1-augustus-gene-135.23" 7.41563646261089 -0.919261065026976 1.13967226507849 -0.806601242475325 0.41989625768697 0.745310514719597
"VaccDscaff1-augustus-gene-135.24" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-137.16" 0.15187296397255 0.776745393330707 4.0804728567969 0.190356711241657 0.849029616819546 NA
"VaccDscaff1-augustus-gene-137.17" 0.905971408895784 3.25571596943198 3.92312097330331 0.829879066076984 0.406607161793105 NA
"VaccDscaff1-augustus-gene-138.20" 1233.7444322489 -1.10610988784015 0.374846912938661 -2.95083099169382 0.00316920277952066 0.0293046263129785
"VaccDscaff1-augustus-gene-138.25" 257.110911115918 3.92453475838688 0.681729625646677 5.75673201038335 8.57578897085927e-09 3.53595371612111e-07
"VaccDscaff1-augustus-gene-138.28" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-139.9" 0.141531777463746 -1.14680795831178 4.0804728567969 -0.28104780954529 0.778673730280535 NA
"VaccDscaff1-augustus-gene-14.20" 4.89575121128139 2.00028280152576 1.48157263308555 1.35010782249665 0.176981399530366 0.479007991801924
"VaccDscaff1-augustus-gene-14.21" 5.04726130859676 0.224052173837196 1.29286311742992 0.173299223109241 0.862416234322487 0.959353159130702
