GID	SYMBOL	GENENAME
1	VaccDscaff22-processed-gene-0.20	Methyltransferase domain
2	VaccDscaff22-processed-gene-0.6	3-ketoacyl-coa synthase
3	VaccDscaff22-augustus-gene-0.25	Belongs to the DHHC palmitoyltransferase family
4	VaccDscaff22-processed-gene-1.4	Cytochrome p450
5	VaccDscaff22-snap-gene-1.29	Cytochrome b5
6	VaccDscaff22-augustus-gene-1.25	rho GTPase-activating protein
7	VaccDscaff22-processed-gene-2.1	mitochondrial chaperone
8	VaccDscaff22-processed-gene-2.5	Vegetative cell wall protein
9	VaccDscaff22-augustus-gene-2.23	Ras-related protein
10	VaccDscaff22-augustus-gene-2.24	Protein kinase domain
11	VaccDscaff22-augustus-gene-3.22	transcription factor
12	VaccDscaff22-augustus-gene-3.19	Bifunctional fucokinase fucose
13	VaccDscaff22-snap-gene-3.26	Lecithin retinol acyltransferase
14	VaccDscaff22-augustus-gene-3.24	Belongs to the multicopper oxidase family
15	VaccDscaff22-augustus-gene-3.23	aluminum-activated malate transporter
16	VaccDscaff22-snap-gene-4.27	-
17	VaccDscaff22-augustus-gene-4.22	RAVE protein 1 C terminal
18	VaccDscaff22-augustus-gene-4.23	-
19	VaccDscaff22-processed-gene-4.3	Transcription factor
20	VaccDscaff22-processed-gene-4.5	ethylene-responsive transcription factor
21	VaccDscaff22-snap-gene-5.29	Protein of unknown function (DUF1442)
22	VaccDscaff22-augustus-gene-5.19	UV-stimulated scaffold protein A homolog
23	VaccDscaff22-processed-gene-5.3	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
24	VaccDscaff22-processed-gene-5.0	Belongs to the peptidase A1 family
25	VaccDscaff22-augustus-gene-5.25	Clustered mitochondria protein
26	VaccDscaff22-augustus-gene-5.24	Divergent PAP2 family
27	VaccDscaff22-augustus-gene-5.22	Phosphatidylinositol 3- and 4-kinase
28	VaccDscaff22-augustus-gene-6.27	RING-H2 finger protein
29	VaccDscaff22-snap-gene-6.39	Autophagy protein Apg6
30	VaccDscaff22-augustus-gene-6.31	ATP-dependent RNA helicase
31	VaccDscaff22-augustus-gene-6.32	zinc finger CCCH domain-containing protein
32	VaccDscaff22-augustus-gene-6.30	Long chain acyl-CoA synthetase
33	VaccDscaff22-augustus-gene-6.33	Protein SDE2 homolog
34	VaccDscaff22-augustus-gene-6.34	cyclic nucleotide-gated ion channel
35	VaccDscaff22-snap-gene-6.47	isoform X1
36	VaccDscaff22-augustus-gene-7.20	Histone H3-like centromeric protein
37	VaccDscaff22-augustus-gene-7.18	Abscisic acid receptor
38	VaccDscaff22-augustus-gene-7.21	SANT  SWI3, ADA2, N-CoR and TFIIIB'' DNA-binding domains
39	VaccDscaff22-augustus-gene-7.19	Chitinase domain-containing protein
40	VaccDscaff22-augustus-gene-7.22	Lipase (class 3)
41	VaccDscaff22-processed-gene-7.5	repeat-containing protein
42	VaccDscaff22-processed-gene-7.6	Protein ROOT PRIMORDIUM DEFECTIVE
43	VaccDscaff22-augustus-gene-8.23	WRKY Transcription Factor
44	VaccDscaff22-augustus-gene-8.25	protein trichome birefringence-like
45	VaccDscaff22-snap-gene-8.34	Indole-3-acetic acid-amido synthetase
46	VaccDscaff22-processed-gene-8.5	Belongs to the UDP-glycosyltransferase family
47	VaccDscaff22-augustus-gene-9.26	Tubulin is the major constituent of microtubules. The gamma chain is found at microtubule organizing centers (MTOC) such as the spindle poles or the centrosome
48	VaccDscaff22-augustus-gene-9.25	Cmp-sialic acid transporter
49	VaccDscaff22-augustus-gene-9.24	inorganic
50	VaccDscaff22-augustus-gene-9.22	Belongs to the mitochondrial carrier (TC 2.A.29) family
51	VaccDscaff22-augustus-gene-9.28	Conserved oligomeric Golgi complex subunit
52	VaccDscaff22-augustus-gene-9.29	Mitogen-activated protein kinase kinase kinase
53	VaccDscaff22-augustus-gene-10.29	Arabinogalactan peptide
54	VaccDscaff22-augustus-gene-10.34	LRR receptor-like serine threonine-protein kinase At3g47570
55	VaccDscaff22-augustus-gene-10.31	WRKY Transcription Factor
56	VaccDscaff22-snap-gene-10.40	Subunit of clathrin-associated adaptor protein complex that plays a role in protein sorting in the late-Golgi trans-Golgi network (TGN) and or endosomes. The AP complexes mediate both the recruitment of clathrin to membranes and the recognition of sorting signals within the cytosolic tails of transmembrane cargo molecules
57	VaccDscaff22-augustus-gene-10.33	Exosome complex component
58	VaccDscaff22-snap-gene-10.42	COG4 transport protein
59	VaccDscaff22-processed-gene-10.26	BEST Arabidopsis thaliana protein match is
60	VaccDscaff22-snap-gene-10.50	Belongs to the glucose-6-phosphate 1-epimerase family
61	VaccDscaff22-augustus-gene-10.35	Belongs to the mitochondrial carrier (TC 2.A.29) family
62	VaccDscaff22-augustus-gene-11.24	CAAD domains of cyanobacterial aminoacyl-tRNA synthetase
63	VaccDscaff22-processed-gene-11.9	-
64	VaccDscaff22-processed-gene-11.1	Protein of unknown function (DUF1191)
65	VaccDscaff22-snap-gene-11.34	glyoxalase I family protein
66	VaccDscaff22-augustus-gene-11.25	Seems to be required for maximal rate of protein biosynthesis. Enhances ribosome dissociation into subunits and stabilizes the binding of the initiator Met-tRNA(I) to 40 S ribosomal subunits
67	VaccDscaff22-augustus-gene-11.26	BTB POZ domain-containing protein
68	VaccDscaff22-processed-gene-12.18	U11 U12 small nuclear ribonucleoprotein 59 kDa
69	VaccDscaff22-processed-gene-12.3	BAG family molecular chaperone regulator
70	VaccDscaff22-snap-gene-12.36	Glycosyl transferase family 1 protein
71	VaccDscaff22-augustus-gene-12.33	60S ribosomal Protein
72	VaccDscaff22-processed-gene-12.6	Delta(8)-fatty-acid desaturase-like
73	VaccDscaff22-snap-gene-13.28	golgin candidate
74	VaccDscaff22-augustus-gene-14.27	Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate
75	VaccDscaff22-augustus-gene-14.25	Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate
76	VaccDscaff22-augustus-gene-14.28	WRKY Transcription Factor
77	VaccDscaff22-snap-gene-14.36	alpha/beta hydrolase fold
78	VaccDscaff22-augustus-gene-14.29	39S ribosomal protein L46
79	VaccDscaff22-augustus-gene-15.19	Ring finger domain
80	VaccDscaff22-augustus-gene-15.20	1-aminocyclopropane-1-carboxylate
81	VaccDscaff22-processed-gene-15.7	Pentatricopeptide repeat-containing protein At3g61520
